wine_type,style,color_depth,color_straw,color_lemon,color_gold,color_amber,color_brown,color_purple,color_ruby,color_garnet,nose_intensity,fruit_green,fruit_citrus,fruit_stone,fruit_tropical,fruit_red,fruit_black,secondary_oak,secondary_creamy,tertiary_present,development,acidity,body,finish,tannin,score_complexity,score_intensity,particle_type,particle_size,particle_count,particle_speed,gravity,color_r,color_g,color_b
red,light_red,0.21279113783681963,0,0,0,0,0,0,0,0,0.4896189498703226,0,0,0,0,1,0,0,0,0,0.13358191365419353,0.9268966520273736,0.1379551912488281,0.37475971054818563,0.4442113948905506,0.27994082225970846,0.4278608821089554,1,2.254,283,0.63,-0.501,0.281,0.0,0.328
red,bold_red,0.9905652889536225,0,0,0,0,0,1,0,1,0.753256507570265,0,0,0,0,1,1,1,0,1,0.713779302405136,0.3081854836428285,0.7361907897290547,0.8182156270777928,0.8828102738813098,0.7740871399730949,0.6635410337438417,2,4.784,43,0.363,0.676,0.603,0.019,0.133
white,rich,0.5233968410569015,0,0,1,0,0,0,0,0,0.5303609581266447,0,0,0,1,0,0,0,0,0,0.610101521450418,0.49080889462660543,0.5904964418037817,0.972232888134493,0.0,0.7319213059665798,0.6769215106521345,4,3.423,17,0.343,0.05,0.715,0.69,0.232
red,light_red,0.11086990661230448,0,0,0,0,0,0,0,0,0.48666584336262886,0,0,0,0,1,0,1,0,0,0.06148750942158823,0.8439481025078418,0.21839664056696081,0.5127752063360054,0.31040822943927016,0.27124884877042277,0.20727422917708574,1,2.431,65,0.682,-0.314,0.307,0.068,0.285
white,rich,0.4311977486744942,0,0,0,0,0,0,0,0,0.7305761242006673,0,1,1,0,0,0,1,1,0,0.49135493930665486,0.6575137976655265,0.771845473930499,0.8472115820727547,0.0,0.9301560749118312,0.6601896829624977,0,4.455,222,0.549,-0.06,0.711,0.756,0.597
white,crisp,0.2902903641456413,0,0,0,0,0,0,0,0,0.37313305588566453,1,1,0,1,0,0,0,0,0,0.39132216229541894,0.8261986937906252,0.14631698310325209,0.5273180690816006,0.0,0.39615145788866435,0.23965727306968365,1,1.585,258,0.564,-0.623,0.646,0.672,0.564
red,aged,0.3862824535437789,0,0,0,0,1,0,0,0,0.5725054564232013,0,0,0,0,1,1,1,1,1,0.7940900240000708,0.38502546896755496,0.6729292151870276,0.737306770577101,0.5266227599636182,0.9578527621115274,0.740866969955881,1,4.741,300,0.17,0.446,0.363,0.154,0.054
white,rich,0.4918749516257094,0,1,1,0,0,0,0,0,0.8955863406588139,1,1,1,1,0,0,1,0,0,0.5613785737664498,0.7032992761701109,0.8631418897433606,0.5439499971967668,0.0,0.7575540463370468,0.8975877973911587,4,4.442,265,0.614,-0.006,0.739,0.626,0.309
red,earthy,0.36524729807539663,0,0,0,0,0,0,0,0,0.6597581798885528,0,0,0,0,1,0,0,0,1,0.5732476673146729,0.5878024023213255,0.2850940192238926,0.5756556914994365,0.4343585291995112,0.6787197557592358,0.44488275634101354,2,2.884,35,0.518,0.102,0.305,0.041,0.357
white,crisp,0.3647274514744367,1,0,0,0,0,0,0,0,0.42709783282183356,1,1,0,1,0,0,0,0,1,0.13573386905933588,0.5461729275537479,0.437901754941779,0.6242896429162581,0.0,0.42478970141599975,0.584483245530826,0,2.768,271,0.512,-0.374,0.696,0.725,0.589
